127.0.0.1 - - [03/May/2024:10:42:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/index.html HTTP/1.1" 200 22689
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/about-img.jpg HTTP/1.1" 200 65684
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/logo.png HTTP/1.1" 200 2618
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/square.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-1.jpg HTTP/1.1" 200 79488
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/css/responsive.css HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/css/style.css HTTP/1.1" 200 17399
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-2.jpg HTTP/1.1" 200 57080
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/js/bootstrap.js HTTP/1.1" 200 136798
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-5.jpg HTTP/1.1" 200 55905
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-6.jpg HTTP/1.1" 200 55772
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/js/custom.js HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-3.jpg HTTP/1.1" 200 48605
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/d-1.jpg HTTP/1.1" 200 54492
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/s-4.jpg HTTP/1.1" 200 48414
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/d-2.jpg HTTP/1.1" 200 66746
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/u-1.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/u-2.png HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/u-3.png HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/location.png HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/u-4.png HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/phone.png HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/mail.png HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/linkedin.png HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/twitter.png HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/fb.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/youtube.png HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:12 +0530] "GET /E-Society/images/client.jpg HTTP/1.1" 200 18945
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:13 +0530] "GET /E-Society/images/hero-bg.jpg HTTP/1.1" 200 163307
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:13 +0530] "GET /E-Society/images/prev-white.png HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:13 +0530] "GET /E-Society/images/next-white.png HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/index.html? HTTP/1.1" 200 22689
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/square.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/about-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/u-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/d-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/s-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/d-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/u-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/u-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/u-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/location.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/client.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/phone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/youtube.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:23 +0530] "GET /E-Society/images/mail.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/index.html? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/images/about-img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:10:42:53 +0530] "GET /E-Society/images/square.png HTTP/1.1" 304 -
