127.0.0.1 - - [07/May/2024:11:11:35 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:36 +0530] "GET /Project_Demo/WishListController HTTP/1.1" 500 1305
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:42 +0530] "GET /Project_Demo/index.jsp HTTP/1.1" 200 21824
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:43 +0530] "GET /Project_Demo/css/bootstrap.min.css HTTP/1.1" 200 193127
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:43 +0530] "GET /Project_Demo/css/style.css HTTP/1.1" 200 18218
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:53 +0530] "GET /Project_Demo/login.jsp HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/May/2024:11:11:59 +0530] "POST /Project_Demo/Customercontroller HTTP/1.1" 200 9425
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "POST /Project_Demo/Customercontroller HTTP/1.1" 200 17592
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/sofa.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/shirt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/bed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/chair.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/product-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/product-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:11:12:11 +0530] "GET /Project_Demo/image/couch.png HTTP/1.1" 304 -
