127.0.0.1 - - [11/May/2024:11:42:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 19804
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/owl-carousel/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/responsee.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/owl-carousel/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/template-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/e-society.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/js/responsee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/js/jquery.events.touch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/owl-carousel/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/js/template-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/img/portfolio/thumb-11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /E-Society/font/mfglabsiconset-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2024:11:42:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:05 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 19804
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:05 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:05 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:15 +0530] "GET /E-Society/admin-login.jsp HTTP/1.1" 200 8834
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:15 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:44:15 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:49:45 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [11/May/2024:11:49:45 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:49:45 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:51:14 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 8617
0:0:0:0:0:0:0:1 - - [11/May/2024:11:51:14 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [11/May/2024:11:51:14 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
