127.0.0.1 - - [16/May/2024:10:33:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:09 +0530] "GET /Project_Demo/login.jsp HTTP/1.1" 200 9403
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:09 +0530] "GET /Project_Demo/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:09 +0530] "GET /Project_Demo/css/tiny-slider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:09 +0530] "GET /Project_Demo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/admin-index.jsp HTTP/1.1" 200 19816
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/components.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/responsee.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/owl-carousel/owl.theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/owl-carousel/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/template-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/js/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/e-society.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/js/responsee.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/js/jquery.events.touch.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/js/template-scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/owl-carousel/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/css/lightcase.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/May/2024:10:33:39 +0530] "GET /E-Society/img/portfolio/thumb-08.jpg HTTP/1.1" 304 -
