127.0.0.1 - - [11/Jun/2024:12:19:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:19:20 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:19:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:21:03 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:21:20 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:21:43 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:24:54 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:25:21 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [11/Jun/2024:12:26:36 +0530] "GET /crudWithValidation/index.jsp HTTP/1.1" 200 865
