0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:22:02 +0530] "GET /Project_Demo/forgetpassword.jsp HTTP/1.1" 200 8952
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:22:05 +0530] "GET /Project_Demo/sell-login.jsp HTTP/1.1" 200 9097
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:22:08 +0530] "GET /Project_Demo/sell-forgetpassword.jsp HTTP/1.1" 200 8692
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:22:35 +0530] "GET /Project_Demo/register.jsp HTTP/1.1" 200 9980
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:22:48 +0530] "GET /Project_Demo/sell-register.jsp HTTP/1.1" 200 9687
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:23:03 +0530] "GET /Project_Demo/login.jsp HTTP/1.1" 200 9394
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:23:10 +0530] "POST /Project_Demo/Customercontroller HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:23:43 +0530] "GET /Project_Demo/Customercontroller? HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:23:48 +0530] "GET /Project_Demo/Customercontroller? HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:24:27 +0530] "GET /Project_Demo/changepassword.jsp HTTP/1.1" 200 13222
0:0:0:0:0:0:0:1 - - [22/Apr/2024:11:25:05 +0530] "GET /Project_Demo/update.jsp HTTP/1.1" 200 11787
